Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id,key_passes,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,1,22,0,23.0,85,0.14,1.12,0.98,1.07,3,1,1,13.6,40.6,2023-08-12T14:00:00Z,90,19,0,0,0,0,1,0,252120,1.0,1,1,72.0,7,0,0,0,65,True,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,11,0,21.6,85,0.01,0.16,0.15,3.08,14,3,0,5.6,16.2,2023-08-19T14:00:00Z,90,11,0,0,0,0,2,0,260913,1.0,1,3,18.0,5,-10112,15961,26073,65,False,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,3,0,11.3,85,0.04,0.11,0.07,2.06,22,2,0,2.3,3.6,2023-08-26T11:30:00Z,90,18,0,0,0,0,3,0,271016,1.0,2,0,8.0,2,1799,25128,23329,65,True,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,22,0,11.7,85,0.02,0.58,0.56,3.29,32,2,1,9.9,42.8,2023-09-02T14:00:00Z,90,4,0,0,0,0,4,0,252353,1.0,2,2,44.0,7,-21333,8965,30298,65,False,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,2,1,2.5,85,0.03,0.43,0.4,1.71,42,0,0,5.4,2.2,2023-09-17T13:00:00Z,90,7,0,0,0,0,5,0,246383,1.0,0,0,49.0,2,-11002,14736,25738,65,True,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,20,0,1.4,85,0.01,0.61,0.6,1.87,53,3,1,6.1,33.2,2023-09-24T13:00:00Z,90,5,0,0,0,0,6,0,226672,1.0,1,3,26.0,6,-20567,5038,25605,64,False,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,3,0,21.7,85,0.14,0.29,0.15,3.47,62,4,0,4.4,3.8,2023-09-30T14:00:00Z,90,1,0,0,0,0,7,0,210153,1.0,4,0,18.0,2,-16189,19271,35460,64,True,0,2,4,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,-1,0,14.9,85,0.17,0.28,0.11,2.71,75,3,0,5.9,13.8,2023-10-07T14:00:00Z,90,9,0,0,0,0,8,0,291889,1.0,0,3,30.0,1,69972,108743,38771,64,False,1,2,2,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,22,0,2.1,85,0.01,0.49,0.48,1.54,82,1,1,8.2,35.8,2023-10-21T14:00:00Z,84,20,0,0,0,0,9,0,290284,1.0,2,1,44.0,7,2899,32937,30038,64,True,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,3,0,3.8,85,0.03,0.18,0.15,0.88,93,1,0,3.7,3.6,2023-10-28T14:00:00Z,90,6,0,0,0,0,10,0,331639,1.0,1,2,30.0,2,34951,55705,20754,64,True,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,2,0,1.5,85,0.01,0.46,0.45,1.39,106,5,0,1.6,0.0,2023-11-04T15:00:00Z,84,13,0,0,0,0,11,0,253708,1.0,1,6,15.0,2,-72720,5979,78699,64,False,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
11,0,3,60,1,39.2,85,0.13,1.31,1.18,0.51,113,0,2,19.2,82.6,2023-11-11T17:30:00Z,90,15,0,0,0,0,12,0,240415,1.0,0,2,70.0,13,-15842,8437,24279,64,True,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,-6,0,11.0,85,0.03,0.65,0.62,0.81,129,1,0,3.1,0.0,2023-11-25T15:00:00Z,90,17,0,0,0,0,13,0,636329,1.0,3,1,21.0,2,348527,361187,12660,65,False,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,19,0,0.7,85,0.04,1.35,1.31,0.68,132,2,1,13.8,45.4,2023-12-03T14:00:00Z,90,2,0,0,0,0,14,0,587046,1.0,2,2,92.0,6,-13023,62573,75596,65,True,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,6,1,2.8,85,0.03,0.15,0.12,0.71,143,0,0,3.9,8.4,2023-12-06T19:30:00Z,87,8,0,0,0,0,15,0,647427,1.0,2,0,28.0,2,56390,83546,27156,65,False,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,28,1,1.2,85,0.03,0.9,0.87,1.16,157,0,1,8.0,35.2,2023-12-09T15:00:00Z,90,14,0,0,0,0,16,0,665840,1.0,3,0,44.0,7,18856,67274,48418,65,False,0,2,4,,,,,,,,,,,,,,,,,,,,,,,
